canonical,entity_type,mishearings,aliases,description,note
Libre,device,"[""Libra""]","[""FreeStyle Libre""]",Continuous glucose monitor by Abbott.,
sourdough,meal,"[""sordo""]",[],,
Blastocystis hominis,symptom,"[""blastos"", ""blasto""]","[""BLASTO""]",Pathogenic intestinal parasite. Gabriel refers to it as 'blasto'.,
sulodexide,intake,"[""side of beside"", ""seligiline"", ""selegiline""]",[],,
Biobeat,machine,[],[],blood pressure continuous monitor wearable,
Capillus,machine,[],"[""Red light therapy"", ""light cap"", ""light therapy"", ""hair loss hat""]",,
Continuous Glucose Monitor,machine,[],"[""Dexcom"", ""CGM"", ""Glucose monitor"", ""Blood Glucose"", ""Blood Sugar""]",,
Evy Light,machine,[],[],,
Fitbit,device,[],[],,
Whoop,device,[],[],,
Game Ready,device,[],[],,
Hume Scales,device,[],"[""Hume"", ""Scales""]",,
iSTAT Alinity,device,[],[],,
Eight Sleep,device,[],"[""8sleep"", ""Eight""]",,
ResMed AirMini CPAP,device,[],"[""CPAP"", ""Sleep Machine""]",,
Neurosom,device,[],[],,
Lactate Monitor - Lactate Pro 2,device,[],"[""Lactate""]",,
NovoTHOR Device,machine,[],[],,
NovoTHOR Bed,machine,[],[],,
Coagucheck INR,device,[],[],,
VO2 Master,device,[],[],,
Firefly Recovery Band,device,[],"[""Firefly""]",,
Pulsio Compression Sleeve,device,[],[],,
Hemocue,device,[],[],,
Adam Health,device,[],[],,
Continuous Ketone Monitor,device,[],"[""CKM""]",,
FoodMarble,device,[],[],,
Platinga Insoles,device,[],[],,
Hytro Shorts,device,[],"[""BFR"", ""Blood Flow Restriction"", ""Space Shorts""]",,
PureFlow,device,[],[],,
Luminette,device,[],[],,
Thumb Oximeter,device,[],"[""Oximeter""]",,
PolarCap,device,[],[],,
Flow Headset,machine,[],[],,
Cefaly,machine,[],"[""migraine device""]",,
BrainScope,machine,[],[],,
Lumia,machine,[],"[""TCD"", ""brain blood flow.""]",,
Vielight X-Plus,machine,[],[],,
Artinis NIRS,machine,[],[],,
Withings BP cuff,device,[],[],,
Optibac,intake,[],"[""probiotic""]",,
Tongkat Ali,intake,[],[],,
MitoQ,intake,[],[],,
DHEA,intake,[],[],,
Nustendi,intake,[],"[""nexlizet"", ""bempedoic acid"", ""ezetimibe""]",,
Blackcurrant Extract,intake,[],[],,
MitoPure,intake,[],"[""Urolithin A"", ""timeline""]",,
NAC,intake,[],[],,
Betaine TMG,intake,[],"[""Betaine Anhydrous TMG""]",,
Siliphos,intake,[],[],,
Boswellia,intake,[],[],,
Iron,intake,[],"[""Eisen complex"", ""+ vitamin C""]",,
Collagen,intake,[],[],,
Gaba,intake,[],"[""L-theanine""]",,
Omega-3,intake,[],"[""fish oil""]",,
ProdromeNeuro,intake,[],"[""plasmalogen""]",,
ProdromeGlia,intake,[],"[""plasmalogen""]",,
Psyllium,intake,[],"[""fibre powder""]",,
Lactoferrin,intake,[],[],,
Vitamin D3K2,intake,[],[],,
Tadalafil,intake,[],"[""Cialis""]",,
Zinc,intake,[],"[""L-carnosine""]",,
Magtein,intake,[],"[""Magnesium""]",,
Procurcumin,intake,[],"[""curcumin"", ""tisso""]",,
Ashwagandha,intake,[],[],,
Nytol,intake,[],[],,
Betaine HCL & Pepsin,intake,[],[],,
Advanced multi-enzyme,intake,[],"[""Enzyme complex""]",,
Acarbose,intake,[],[],,
HMB,intake,[],[],,
Creatine,intake,[],"[""Creatine monohydrate""]",,
L-glutamine,intake,[],[],,
CocoaVia,intake,[],"[""coco powder""]",,
Leucine,intake,[],[],,
Whey,intake,[],"[""protein""]",,
Truvani,intake,[],"[""protein""]",,
Re-Lyte,intake,[],"[""electrolytes""]",,
UCAN,intake,[],[],,
Repatha,intake,[],"[""injection"", ""PCK9 inhibitor""]",,
Copper,intake,[],[],,
Vitamin B6,intake,[],[],,
Niacin,intake,[],[],,
PEA,intake,[],"[""Luteolin""]",,
CoQ10,intake,[],"[""coenzyme 10""]",,
L-glutathione,intake,[],"[""300 reduced""]",,
SS 31,intake,"[""*SS31 (e.g."", ""DSS 31)""]","[""SS31""]",,
BPC 157,intake,[],"[""BPC""]",,
TB 500,intake,[],"[""TB""]",,
Ipamorelin,intake,"[""ipa""]","[""growth hormone""]",,
Polar,device,"[""pollar""]","[""heart rate strap"", ""polar strap""]",,
Oura,device,"[""Aura"", ""order"", ""Oteria"", ""\""the order\""""]","[""oura"", ""oura ring""]",,
Lumen metabolic breath device,device,[],"[""Lumen""]",,
Dexcom continuous glucose monitor (CGM),device,"[""decks"", ""the decks""]","[""Dexcom"", ""CGM"", ""Glucose monitor"", ""Blood Glucose"", ""Blood Sugar""]",,
Ultrasound,test,[],"[""vein check"", ""venous check""]",,
Double‑labeled water test,test,[],"[""double labeled water""]",,
Stool test,test,"[""blastos""]","[""gut test"", ""full gut panel"", ""blasto""]",,
IV infusion,test,[],"[""IV"", ""infusion"", ""IV blood draw""]",,
SS-31 peptide,intake,"[""SR71"", ""SR 71"", ""SR\u201131"", ""SR 71""]","[""SS\u201131"", ""SS31"", ""SS 31"", ""peptides""]",,
BPC‑157 peptide,intake,"[""B P C""]","[""BPC"", ""BPC-157"", ""peptides""]",,
Stem cell treatment,intervention,"[""supernatent"", ""super name""]","[""stem cells""]",,
PONS device,device,"[""ponds""]","[""pons therapy"", ""PONS""]",,
HMB (beta‑hydroxy beta‑methylbutyrate),intake,"[""H&B""]","[""HMB""]",,
Melatonin,intake,[],"[""night pill""]",,
Paracetamol,intake,[],"[""acetaminophen"", ""tylenol""]",,
Doxycycline,intake,[],"[""antibiotic""]",,
Zyrtec,intake,[],"[""cetirizine""]",,
Topical minoxidil,intake,"[""regain""]","[""Rogaine""]",,
Cocovia,intake,[],"[""cacao"", ""cocoa""]",,
Caffeine,other,"[""hoji isa""]","[""espresso"", ""decaf"", ""coffee"", ""matcha"", ""houjicha"", ""double shot""]",,
Sauna,activity,[],[],,
Hot tub,activity,[],"[""hot soak""]",,
Meditation,activity,[],"[""mindful session""]",,
Zone 2,activity,[],"[""zone 2 cardio"", ""zone two""]",,
4x4 interval training,activity,"[""pseudo 4x4""]","[""4x4"", ""4 by 4"", ""four by four""]",,
Elliptical (Technogym),activity,[],"[""elliptical machine"", ""Technogym elliptical"", ""techno gym""]",,
Treadmill,activity,"[""wood way""]","[""treadmill"", ""woodway""]",,
Weights,activity,[],"[""weightlifting"", ""resistance training"", ""strength training"", ""lifting""]",,
